area,expected,current_evidence,implementation_state,gap,next_gate
v0.9 source,Exact full design incremental document and manifest,"Hash byte and line checks in import_v09_design.py",verified,None,Keep exact-source CI green
content schema,Schema v4 metadata,"Pathways sequences commissions and quests parse or validate shared metadata",code_ready,Remaining legacy content is not migrated,Migrate all active content definitions
content graph,Global dependency and audit graph,"116 nodes 168 edges and six generated reports",verified,None,Keep graph and spoiler gates green as M2 grows
orphan preservation,Unknown IDs survive migrations,"Runtime orphaned_entries plus graph orphan report preserve invalid unknown and future payloads",verified,Recovery UI and operator export remain,Add explicit recovery and export tooling
player migration,Safe forward migration,"Capability schema 23 named DataFix snapshots exact restore orphaned_entries four-section dirty masks player hypotheses dynamic case history contact memory organization responses city shifts mystical exposure nine Forge GameTests and two-start server matrix",verified,Human client lifecycle evidence remains,Record death dimension reconnect and four-player eight-hour sessions
characteristics,Layered bundle and conservation,"Sequence purity imprint corruption source hash permanent-breakdown transfer and exact death drop persist",playable,Duplicate merge and higher-sequence conservation remain,Extend under later pathway milestones
acting v2,Principle identity and reflection,"Identity card reflection journal insight overidentification daily reflect UI and trial tracking",verified,Human pacing evidence remains,Record two-hour play sessions
seer vertical slice,Two-hour sequence 9-7 onboarding,"Potions abilities acting risk recovery camp identity reflection city work nine goals and seven milestones",verified,Human balance evidence remains,Keep M1 regression matrix green during M2
five pathways,Launch pathways through sequence 5,"Five pathways sequence 9-7 are playable migration assets; sequence 6-5 has ten potions twenty server abilities twenty acting events and restart GameTest",code_ready,Exclusive advancement rituals full canonical subsystems and multiplayer differentiation incomplete,Complete M3 rituals assets and human balance matrix
investigation,Dynamic case and life loop,"Four commissions four quest chains authoritative board persistent party ledger daily eight-slot rotation case subjects affected residents visible exhibits four sealed evidence items weekly organization rotation subject schedules six relationship types five organization stances twelve directives twenty-four bounded contact events three response branches three formal districts city economy exposure and six world events",playable,Four-player eight-hour load and human economy balance evidence remain,Run four-player eight-hour test and record economy balance
compatibility,Read-only integrations first,"Compatibility report lists JEI EMI and Jade as planned",planned,No runtime plugins,Add optional read-only adapters and tests
localization,Chinese and English parity,"Resource integrity and graph localization report",verified,New content must remain paired,Keep localization gate mandatory
assets,Original models and clear licensing,"Registered resources including four sealed evidence models resolve with vanilla texture fallback",data_ready,Dedicated original models incomplete,Produce auditable original asset pack
endgame,Optional and fully disableable,"M12 isolated in roadmap",planned,No current implementation,Keep disabled until explicit milestone
legal,Protect contributions without relicensing third-party IP,"GPL-3.0-or-later code CC BY-NC-SA 4.0 original assets NOTICE and IP mapping",verified,Original franchise rights remain outside repository licenses,Preserve attribution provenance and unofficial notice
